"batch_id","run_id","jcm","ccrs_mode","source","file","line","selected_uri","selected_original_index","selected_has_ccrs","selected_reordered","selected_origin","selected_type","selected_utility","options_count","matched_count"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","33","http://127.0.1.1:8080/cells/0/2","0","True","False","opportunistic-ccrs","signifier","0.7","1","1"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","55","http://127.0.1.1:8080/cells/1/2","0","True","False","opportunistic-ccrs","signifier","0.7","1","1"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","77","http://127.0.1.1:8080/cells/2/2","0","True","False","opportunistic-ccrs","signifier","0.7","1","1"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","103","http://127.0.1.1:8080/cells/3/2","1","True","True","opportunistic-ccrs","signifier","0.7","3","1"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","125","http://127.0.1.1:8080/cells/4/2","0","True","False","opportunistic-ccrs","signifier","0.7","1","1"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","149","http://127.0.1.1:8080/cells/5/2","0","True","False","opportunistic-ccrs","signifier","0.7","2","1"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","173","http://127.0.1.1:8080/cells/6/2","1","True","True","opportunistic-ccrs","signifier","0.7","2","1"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","195","http://127.0.1.1:8080/cells/7/2","0","True","False","opportunistic-ccrs","signifier","0.7","1","1"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","221","http://127.0.1.1:8080/cells/8/2","1","True","True","opportunistic-ccrs","signifier","0.7","3","1"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","243","http://127.0.1.1:8080/cells/9/2","0","True","False","opportunistic-ccrs","signifier","0.7","1","1"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","267","http://127.0.1.1:8080/cells/10/2","0","True","False","opportunistic-ccrs","signifier","0.7","2","1"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","289","http://127.0.1.1:8080/cells/10/3","0","True","False","opportunistic-ccrs","signifier","0.7","1","1"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","structured","mas-0.log","311","http://127.0.1.1:8080/cells/11/3","0","True","False","opportunistic-ccrs","signifier","0.7","1","1"
