"batch_id","run_id","jcm","ccrs_mode","file","line","mase_run_id","archive_id","timestamp","transaction_id","trigger","status","agent","graph","trace_mode","rule_count","error","started_at","finished_at","duration_ms","capture_source"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","5630","run-2026-05-24T10-59-10-998Z","6403430","1779620526252","2818","POST","COMMITTED","dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/48/50","summary","9",,"1779620526152","1779620526250","98","unknown"
"baseline-vs-ccrs-v2","001-baseline","dfs_baseline.jcm","none","mase-events.jsonl","5632","run-2026-05-24T10-59-10-998Z","6403432","1779620526402","2819","POST","COMMITTED","dfs_baseline_nesw_1","http://127.0.1.1:8080/cells/999","summary","9",,"1779620526303","1779620526400","97","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4900","run-2026-05-24T11-02-24-828Z","6408333","1779620789261","5271","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/0","summary","9",,"1779620789164","1779620789259","95","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4902","run-2026-05-24T11-02-24-828Z","6408335","1779620789423","5272","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/0/2","summary","9",,"1779620789341","1779620789421","80","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4904","run-2026-05-24T11-02-24-828Z","6408337","1779620789561","5273","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/1/2","summary","9",,"1779620789482","1779620789560","78","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4906","run-2026-05-24T11-02-24-828Z","6408339","1779620789716","5274","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/2/2","summary","9",,"1779620789624","1779620789716","92","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4908","run-2026-05-24T11-02-24-828Z","6408341","1779620789853","5275","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/3/2","summary","9",,"1779620789774","1779620789854","80","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4910","run-2026-05-24T11-02-24-828Z","6408343","1779620789990","5276","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/4/2","summary","9",,"1779620789910","1779620789988","78","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4912","run-2026-05-24T11-02-24-828Z","6408345","1779620790123","5277","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/5/2","summary","9",,"1779620790041","1779620790121","80","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4914","run-2026-05-24T11-02-24-828Z","6408347","1779620790263","5278","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/6/2","summary","9",,"1779620790174","1779620790260","86","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4916","run-2026-05-24T11-02-24-828Z","6408349","1779620790384","5279","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/7/2","summary","9",,"1779620790308","1779620790383","75","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4918","run-2026-05-24T11-02-24-828Z","6408351","1779620790517","5280","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/8/2","summary","9",,"1779620790431","1779620790514","83","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4920","run-2026-05-24T11-02-24-828Z","6408353","1779620790653","5281","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/9/2","summary","9",,"1779620790560","1779620790645","85","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4922","run-2026-05-24T11-02-24-828Z","6408355","1779620790783","5282","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/10/2","summary","9",,"1779620790689","1779620790782","93","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4924","run-2026-05-24T11-02-24-828Z","6408357","1779620790914","5283","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/10/3","summary","9",,"1779620790826","1779620790912","86","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4926","run-2026-05-24T11-02-24-828Z","6408359","1779620791038","5284","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/11/3","summary","9",,"1779620790959","1779620791037","78","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4928","run-2026-05-24T11-02-24-828Z","6408361","1779620791171","5285","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/12/3","summary","9",,"1779620791078","1779620791170","92","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4930","run-2026-05-24T11-02-24-828Z","6408363","1779620791313","5286","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/12/4","summary","9",,"1779620791220","1779620791309","89","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4932","run-2026-05-24T11-02-24-828Z","6408365","1779620791440","5287","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/12/5","summary","9",,"1779620791351","1779620791439","88","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4934","run-2026-05-24T11-02-24-828Z","6408367","1779620791567","5288","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/13/5","summary","9",,"1779620791480","1779620791563","83","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4936","run-2026-05-24T11-02-24-828Z","6408369","1779620791700","5289","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/14/5","summary","9",,"1779620791618","1779620791699","81","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4938","run-2026-05-24T11-02-24-828Z","6408371","1779620791834","5290","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/15/5","summary","9",,"1779620791747","1779620791825","78","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4940","run-2026-05-24T11-02-24-828Z","6408373","1779620791955","5291","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/15/6","summary","9",,"1779620791870","1779620791951","81","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4942","run-2026-05-24T11-02-24-828Z","6408375","1779620792083","5292","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/15/7","summary","9",,"1779620791992","1779620792078","86","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4944","run-2026-05-24T11-02-24-828Z","6408377","1779620792206","5293","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/15/8","summary","9",,"1779620792122","1779620792204","82","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4946","run-2026-05-24T11-02-24-828Z","6408379","1779620792330","5294","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/16/8","summary","9",,"1779620792245","1779620792329","84","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4948","run-2026-05-24T11-02-24-828Z","6408381","1779620792461","5295","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/17/8","summary","9",,"1779620792372","1779620792458","86","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4950","run-2026-05-24T11-02-24-828Z","6408383","1779620792595","5296","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/18/8","summary","9",,"1779620792502","1779620792586","84","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4952","run-2026-05-24T11-02-24-828Z","6408385","1779620792711","5297","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/18/9","summary","9",,"1779620792631","1779620792709","78","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4954","run-2026-05-24T11-02-24-828Z","6408387","1779620792837","5298","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/19/9","summary","9",,"1779620792752","1779620792835","83","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4956","run-2026-05-24T11-02-24-828Z","6408389","1779620792972","5299","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/20/9","summary","9",,"1779620792878","1779620792971","93","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4958","run-2026-05-24T11-02-24-828Z","6408391","1779620793089","5300","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/21/9","summary","9",,"1779620793012","1779620793086","74","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4960","run-2026-05-24T11-02-24-828Z","6408393","1779620793219","5301","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/22/9","summary","9",,"1779620793128","1779620793214","86","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4962","run-2026-05-24T11-02-24-828Z","6408395","1779620793332","5302","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/23/9","summary","9",,"1779620793255","1779620793331","76","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4964","run-2026-05-24T11-02-24-828Z","6408397","1779620793467","5303","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/23/10","summary","9",,"1779620793376","1779620793463","87","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4966","run-2026-05-24T11-02-24-828Z","6408399","1779620793588","5304","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/24/10","summary","9",,"1779620793500","1779620793585","85","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4968","run-2026-05-24T11-02-24-828Z","6408401","1779620793717","5305","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/25/10","summary","9",,"1779620793625","1779620793715","90","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4970","run-2026-05-24T11-02-24-828Z","6408403","1779620793851","5306","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/26/10","summary","9",,"1779620793763","1779620793847","84","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4972","run-2026-05-24T11-02-24-828Z","6408405","1779620793966","5307","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/26/11","summary","9",,"1779620793889","1779620793965","76","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4974","run-2026-05-24T11-02-24-828Z","6408407","1779620794086","5308","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/27/11","summary","9",,"1779620794001","1779620794084","83","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4976","run-2026-05-24T11-02-24-828Z","6408409","1779620794219","5309","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/28/11","summary","9",,"1779620794122","1779620794205","83","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4978","run-2026-05-24T11-02-24-828Z","6408411","1779620794342","5310","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/28/12","summary","9",,"1779620794249","1779620794341","92","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4980","run-2026-05-24T11-02-24-828Z","6408413","1779620794476","5311","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/28/13","summary","9",,"1779620794380","1779620794475","95","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4982","run-2026-05-24T11-02-24-828Z","6408415","1779620794596","5312","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/28/14","summary","9",,"1779620794511","1779620794593","82","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4984","run-2026-05-24T11-02-24-828Z","6408417","1779620794725","5313","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/28/15","summary","9",,"1779620794633","1779620794717","84","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4986","run-2026-05-24T11-02-24-828Z","6408419","1779620794852","5314","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/29/15","summary","9",,"1779620794764","1779620794844","80","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4988","run-2026-05-24T11-02-24-828Z","6408421","1779620794967","5315","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/29/16","summary","9",,"1779620794882","1779620794963","81","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4990","run-2026-05-24T11-02-24-828Z","6408423","1779620795099","5316","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/30/16","summary","9",,"1779620795006","1779620795097","91","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4992","run-2026-05-24T11-02-24-828Z","6408425","1779620795228","5317","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/31/16","summary","9",,"1779620795136","1779620795218","82","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4994","run-2026-05-24T11-02-24-828Z","6408427","1779620795348","5318","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/31/17","summary","9",,"1779620795259","1779620795347","88","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4996","run-2026-05-24T11-02-24-828Z","6408429","1779620795489","5319","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/32/17","summary","9",,"1779620795386","1779620795483","97","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","4998","run-2026-05-24T11-02-24-828Z","6408431","1779620795606","5320","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/32/18","summary","9",,"1779620795520","1779620795600","80","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5000","run-2026-05-24T11-02-24-828Z","6408433","1779620795735","5321","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/32/19","summary","9",,"1779620795650","1779620795725","75","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5002","run-2026-05-24T11-02-24-828Z","6408435","1779620795855","5322","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/33/19","summary","9",,"1779620795765","1779620795851","86","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5004","run-2026-05-24T11-02-24-828Z","6408437","1779620795994","5323","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/34/19","summary","9",,"1779620795889","1779620795983","94","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5006","run-2026-05-24T11-02-24-828Z","6408439","1779620796108","5324","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/34/20","summary","9",,"1779620796022","1779620796099","77","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5008","run-2026-05-24T11-02-24-828Z","6408441","1779620796234","5325","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/34/21","summary","9",,"1779620796142","1779620796233","91","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5010","run-2026-05-24T11-02-24-828Z","6408443","1779620796358","5326","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/35/21","summary","9",,"1779620796274","1779620796353","79","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5012","run-2026-05-24T11-02-24-828Z","6408445","1779620796474","5327","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/36/21","summary","9",,"1779620796389","1779620796472","83","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5014","run-2026-05-24T11-02-24-828Z","6408447","1779620796612","5328","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/36/22","summary","9",,"1779620796521","1779620796607","86","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5016","run-2026-05-24T11-02-24-828Z","6408449","1779620796736","5329","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/36/23","summary","9",,"1779620796647","1779620796728","81","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5018","run-2026-05-24T11-02-24-828Z","6408451","1779620796852","5330","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/37/23","summary","9",,"1779620796765","1779620796844","79","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5020","run-2026-05-24T11-02-24-828Z","6408453","1779620796971","5331","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/37/24","summary","9",,"1779620796888","1779620796965","77","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5022","run-2026-05-24T11-02-24-828Z","6408455","1779620797095","5332","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/37/25","summary","9",,"1779620797003","1779620797091","88","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5024","run-2026-05-24T11-02-24-828Z","6408457","1779620797225","5333","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/37/26","summary","9",,"1779620797132","1779620797221","89","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5026","run-2026-05-24T11-02-24-828Z","6408459","1779620797351","5334","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/37/27","summary","9",,"1779620797268","1779620797346","78","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5028","run-2026-05-24T11-02-24-828Z","6408461","1779620797469","5335","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/37/28","summary","9",,"1779620797386","1779620797462","76","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5030","run-2026-05-24T11-02-24-828Z","6408463","1779620797605","5336","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/37/29","summary","9",,"1779620797508","1779620797592","84","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5032","run-2026-05-24T11-02-24-828Z","6408465","1779620797736","5337","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/37/30","summary","9",,"1779620797633","1779620797729","96","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5034","run-2026-05-24T11-02-24-828Z","6408467","1779620797851","5338","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/37/31","summary","9",,"1779620797765","1779620797849","84","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5036","run-2026-05-24T11-02-24-828Z","6408469","1779620797988","5339","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/36/31","summary","9",,"1779620797892","1779620797986","94","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5038","run-2026-05-24T11-02-24-828Z","6408471","1779620798118","5340","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/35/31","summary","9",,"1779620798029","1779620798116","87","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5040","run-2026-05-24T11-02-24-828Z","6408473","1779620798251","5341","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/35/30","summary","9",,"1779620798156","1779620798250","94","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5042","run-2026-05-24T11-02-24-828Z","6408475","1779620798370","5342","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/35/29","summary","9",,"1779620798289","1779620798368","79","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5044","run-2026-05-24T11-02-24-828Z","6408477","1779620798502","5343","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/35/28","summary","9",,"1779620798407","1779620798501","94","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5046","run-2026-05-24T11-02-24-828Z","6408479","1779620798625","5344","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/35/27","summary","9",,"1779620798540","1779620798624","84","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5048","run-2026-05-24T11-02-24-828Z","6408481","1779620798768","5345","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/34/27","summary","9",,"1779620798673","1779620798767","94","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5050","run-2026-05-24T11-02-24-828Z","6408483","1779620798894","5346","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/33/27","summary","9",,"1779620798812","1779620798893","81","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5052","run-2026-05-24T11-02-24-828Z","6408485","1779620799020","5347","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/33/26","summary","9",,"1779620798928","1779620799011","83","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5054","run-2026-05-24T11-02-24-828Z","6408487","1779620799138","5348","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/33/25","summary","9",,"1779620799054","1779620799134","80","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5056","run-2026-05-24T11-02-24-828Z","6408489","1779620799252","5349","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/33/24","summary","9",,"1779620799173","1779620799251","78","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5058","run-2026-05-24T11-02-24-828Z","6408491","1779620799372","5350","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/32/24","summary","9",,"1779620799288","1779620799371","83","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5060","run-2026-05-24T11-02-24-828Z","6408493","1779620799503","5351","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/31/24","summary","9",,"1779620799411","1779620799502","91","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5062","run-2026-05-24T11-02-24-828Z","6408495","1779620799634","5352","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/31/25","summary","9",,"1779620799542","1779620799632","90","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5064","run-2026-05-24T11-02-24-828Z","6408497","1779620799767","5353","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/31/26","summary","9",,"1779620799678","1779620799765","87","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5066","run-2026-05-24T11-02-24-828Z","6408499","1779620799909","5354","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/31/27","summary","9",,"1779620799812","1779620799908","96","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5068","run-2026-05-24T11-02-24-828Z","6408501","1779620800030","5355","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/31/28","summary","9",,"1779620799952","1779620800029","77","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5070","run-2026-05-24T11-02-24-828Z","6408503","1779620800171","5356","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/31/29","summary","9",,"1779620800070","1779620800161","91","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5072","run-2026-05-24T11-02-24-828Z","6408505","1779620800293","5357","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/31/30","summary","9",,"1779620800204","1779620800288","84","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5074","run-2026-05-24T11-02-24-828Z","6408507","1779620800411","5358","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/32/30","summary","9",,"1779620800327","1779620800409","82","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5076","run-2026-05-24T11-02-24-828Z","6408509","1779620800539","5359","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/33/30","summary","9",,"1779620800449","1779620800535","86","unknown"
"baseline-vs-ccrs-v2","002-ccrs","dfs_ccrs.jcm","both","mase-events.jsonl","5078","run-2026-05-24T11-02-24-828Z","6408511","1779620800650","5360","POST","COMMITTED","dfs_ccrs_1","http://127.0.1.1:8080/cells/33/31","summary","9",,"1779620800574","1779620800649","75","unknown"
