"batch_id","run_id","jcm","ccrs_mode","agent_label","step","file","line","sequence","timestamp_ms","duration_ms","previous_cell","cell","opp_ccrs_detected_count","contingency_ccrs_invocation_count"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","1","mas-0.log","28","28","51084304",,"http://127.0.1.1:8080/maze","http://127.0.1.1:8080/cells/0","0","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","2","mas-0.log","50","50","51084463","159","http://127.0.1.1:8080/cells/0","http://127.0.1.1:8080/cells/0/2","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","3","mas-0.log","72","72","51084622","159","http://127.0.1.1:8080/cells/0/2","http://127.0.1.1:8080/cells/1/2","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","4","mas-0.log","96","96","51084767","145","http://127.0.1.1:8080/cells/1/2","http://127.0.1.1:8080/cells/2/2","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","5","mas-0.log","120","120","51084910","143","http://127.0.1.1:8080/cells/2/2","http://127.0.1.1:8080/cells/3/2","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","6","mas-0.log","143","143","51085046","136","http://127.0.1.1:8080/cells/3/2","http://127.0.1.1:8080/cells/4/2","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","7","mas-0.log","167","167","51085186","140","http://127.0.1.1:8080/cells/4/2","http://127.0.1.1:8080/cells/5/2","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","8","mas-0.log","190","190","51085315","129","http://127.0.1.1:8080/cells/5/2","http://127.0.1.1:8080/cells/6/2","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","9","mas-0.log","214","214","51085441","126","http://127.0.1.1:8080/cells/6/2","http://127.0.1.1:8080/cells/7/2","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","10","mas-0.log","238","238","51085580","139","http://127.0.1.1:8080/cells/7/2","http://127.0.1.1:8080/cells/7/3","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","11","mas-0.log","260","260","51085724","144","http://127.0.1.1:8080/cells/7/3","http://127.0.1.1:8080/cells/7/4","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","12","mas-0.log","282","282","51085870","146","http://127.0.1.1:8080/cells/7/4","http://127.0.1.1:8080/cells/8/4","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","13","mas-0.log","304","304","51086013","143","http://127.0.1.1:8080/cells/8/4","http://127.0.1.1:8080/cells/8/5","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","14","mas-0.log","328","328","51086148","135","http://127.0.1.1:8080/cells/8/5","http://127.0.1.1:8080/cells/8/6","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","15","mas-0.log","352","352","51086300","152","http://127.0.1.1:8080/cells/8/6","http://127.0.1.1:8080/cells/9/6","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","16","mas-0.log","374","374","51086438","138","http://127.0.1.1:8080/cells/9/6","http://127.0.1.1:8080/cells/10/6","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","17","mas-0.log","397","397","51086573","135","http://127.0.1.1:8080/cells/10/6","http://127.0.1.1:8080/cells/11/6","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","18","mas-0.log","420","420","51086724","151","http://127.0.1.1:8080/cells/11/6","http://127.0.1.1:8080/cells/11/5","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","19","mas-0.log","442","442","51086895","171","http://127.0.1.1:8080/cells/11/5","http://127.0.1.1:8080/cells/12/5","0","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","20","mas-0.log","1250","1250","51099392","12497","http://127.0.1.1:8080/cells/12/5","http://127.0.1.1:8080/cells/12/5","1","1"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","21","mas-0.log","1274","1274","51099517","125","http://127.0.1.1:8080/cells/12/5","http://127.0.1.1:8080/cells/13/5","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","22","mas-0.log","1297","1297","51099637","120","http://127.0.1.1:8080/cells/13/5","http://127.0.1.1:8080/cells/14/5","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","23","mas-0.log","1322","1322","51099767","130","http://127.0.1.1:8080/cells/14/5","http://127.0.1.1:8080/cells/15/5","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","24","mas-0.log","1345","1345","51099902","135","http://127.0.1.1:8080/cells/15/5","http://127.0.1.1:8080/cells/15/6","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","25","mas-0.log","1367","1367","51100044","142","http://127.0.1.1:8080/cells/15/6","http://127.0.1.1:8080/cells/15/7","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","26","mas-0.log","1390","1390","51100178","134","http://127.0.1.1:8080/cells/15/7","http://127.0.1.1:8080/cells/15/8","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","27","mas-0.log","1413","1413","51100315","137","http://127.0.1.1:8080/cells/15/8","http://127.0.1.1:8080/cells/16/8","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","28","mas-0.log","1438","1438","51100449","134","http://127.0.1.1:8080/cells/16/8","http://127.0.1.1:8080/cells/17/8","2","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","29","mas-0.log","1461","1461","51100578","129","http://127.0.1.1:8080/cells/17/8","http://127.0.1.1:8080/cells/18/8","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","30","mas-0.log","1483","1483","51100702","124","http://127.0.1.1:8080/cells/18/8","http://127.0.1.1:8080/cells/18/9","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","31","mas-0.log","1505","1505","51100828","126","http://127.0.1.1:8080/cells/18/9","http://127.0.1.1:8080/cells/19/9","1","0"
"baseline-vs-ccrs-v1","002-ccrs","dfs_ccrs.jcm","both","dfs_ccrs_1","32","mas-0.log","1527","1527","51100948","120","http://127.0.1.1:8080/cells/19/9","http://127.0.1.1:8080/cells/20/9","1","0"
